insert into tblrent values (rent_seq.nextval, 70, '890-도스-s42-v01', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 110, '431-현멜-s52-v01', '2018-01-01', '2018-01-02', 0);
insert into tblrent values (rent_seq.nextval, 159, '890-록마-s00-v02', '2018-01-01', '2018-01-11', 0);
insert into tblrent values (rent_seq.nextval, 278, '454-유이-s43-v01', '2018-01-01', '2018-01-08', 1);
insert into tblrent values (rent_seq.nextval, 200, '890-해구-s00-v01', '2018-01-01', '2018-01-06', 1);
insert into tblrent values (rent_seq.nextval, 248, '443-여마-s54-v01', '2018-01-01', '2018-01-06', 2);
insert into tblrent values (rent_seq.nextval, 179, '890-년이-s14-v01', '2018-01-01', '2018-01-07', 0);
insert into tblrent values (rent_seq.nextval, 53, '987-리이-s01-v02', '2018-01-01', '2018-01-02', 0);
insert into tblrent values (rent_seq.nextval, 131, '860-학에-s00-v01', '2018-01-01', '2018-01-04', 0);
insert into tblrent values (rent_seq.nextval, 148, '829-(스-s04-v01', '2018-01-01', '2018-01-07', 0);
insert into tblrent values (rent_seq.nextval, 263, '840-에바-s00-v01', '2018-01-01', '2018-01-06', 0);
insert into tblrent values (rent_seq.nextval, 210, '483-생윌-s60-v01', '2018-01-01', '2018-01-02', 0);
insert into tblrent values (rent_seq.nextval, 161, '211-배그-s76-v01', '2018-01-01', '2018-01-05', 0);
insert into tblrent values (rent_seq.nextval, 152, '890-도원-s00-v01', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 34, '890-리돈-s25-v01', '2018-01-01', '2018-01-05', 0);
insert into tblrent values (rent_seq.nextval, 272, '486-카김-s36-v01', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 46, '890-복사-s00-v02', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 126, '890-실대-s03-v01', '2018-01-01', '2018-01-07', 2);
insert into tblrent values (rent_seq.nextval, 130, '537-포츠-s58-v02', '2018-01-01', '2018-01-11', 0);
insert into tblrent values (rent_seq.nextval, 113, '830-자로-s01-v01', '2018-01-01', '2018-01-09', 0);
insert into tblrent values (rent_seq.nextval, 85, '445-빛석-s42-v01', '2018-01-01', '2018-01-11', 0);
insert into tblrent values (rent_seq.nextval, 274, '890-티스-s06-v01', '2018-01-01', '2018-01-11', 0);
insert into tblrent values (rent_seq.nextval, 173, '890-옥조-s00-v01', '2018-01-01', '2018-01-03', 0);
insert into tblrent values (rent_seq.nextval, 119, '890-크크-s03-v01', '2018-01-01', '2018-01-05', 0);
insert into tblrent values (rent_seq.nextval, 238, '890-르모-s12-v01', '2018-01-01', '2018-01-04', 0);
insert into tblrent values (rent_seq.nextval, 289, '452-희제-s47-v02', '2018-01-01', '2018-01-04', 0);
insert into tblrent values (rent_seq.nextval, 252, '890-스어-s06-v01', '2018-01-01', '2018-01-04', 1);
insert into tblrent values (rent_seq.nextval, 117, '890-암박-s00-v02', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 110, '412-공안-s88-v01', '2018-01-01', '2018-01-05', 0);
insert into tblrent values (rent_seq.nextval, 277, '695-트야-s20-v01', '2018-01-01', '2018-01-03', 0);
insert into tblrent values (rent_seq.nextval, 272, '890-든마-s00-v01', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 234, '488-흐필-s97-v02', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 171, '836-스리-s97-v02', '2018-01-01', '2018-01-06', 2);
insert into tblrent values (rent_seq.nextval, 19, '890-원조-s00-v01', '2018-01-01', '2018-01-05', 1);
insert into tblrent values (rent_seq.nextval, 105, '890-는브-s00-v01', '2018-01-01', '2018-01-11', 0);
insert into tblrent values (rent_seq.nextval, 52, '840-소잭-s00-v01', '2018-01-01', '2018-01-04', 0);
insert into tblrent values (rent_seq.nextval, 202, '890-욕김-s00-v01', '2018-01-01', '2018-01-03', 0);
insert into tblrent values (rent_seq.nextval, 241, '401-스닐-s38-v02', '2018-01-01', '2018-01-07', 2);
insert into tblrent values (rent_seq.nextval, 110, '473-김김-s02-v01', '2018-01-01', '2018-01-08', 0);
insert into tblrent values (rent_seq.nextval, 6, '880-학브-s00-v01', '2018-01-01', '2018-01-03', 0);
insert into tblrent values (rent_seq.nextval, 183, '890-웃기-s01-v01', '2018-01-01', '2018-01-07', 0);
insert into tblrent values (rent_seq.nextval, 178, '890-화쿠-s04-v01', '2018-01-01', '2018-01-06', 0);
insert into tblrent values (rent_seq.nextval, 102, '810-의이-s00-v01', '2018-01-01', '2018-01-05', 0);
insert into tblrent values (rent_seq.nextval, 73, '890-리로-s08-v01', '2018-01-01', '2018-01-05', 0);
insert into tblrent values (rent_seq.nextval, 260, '890-듄프-s02-v01', '2018-01-01', '2018-01-06', 0);
insert into tblrent values (rent_seq.nextval, 148, '420-어닉-s43-v02', '2018-01-01', '2018-01-06', 0);
